21-01-2026 09:12:01 | 10.0.0.10 | alice | LOGIN_SUCCESS
21-01-2026 09:12:15 | 10.0.0.10 | alice | FILE_ACCESS

21-01-2026 09:14:02 | 10.0.0.25 | bob | LOGIN_SUCCESS
21-01-2026 09:14:20 | 10.0.0.25 | bob | SUDO_FAIL
21-01-2026 09:14:45 | 10.0.0.25 | bob | LOGIN_FAIL

21-01-2026 09:18:01 | 192.168.1.50 | alice | LOGIN_FAIL
21-01-2026 09:18:15 | 192.168.1.50 | alice | LOGIN_FAIL
21-01-2026 09:18:30 | 192.168.1.50 | alice | LOGIN_FAIL
21-01-2026 09:18:42 | 192.168.1.50 | alice | LOGIN_FAIL

21-01-2026 09:20:10 | 203.0.113.77 | admin | LOGIN_FAIL
21-01-2026 09:20:25 | 203.0.113.77 | admin | LOGIN_FAIL
21-01-2026 09:20:40 | 203.0.113.77 | admin | LOGIN_FAIL

21-01-2026 09:22:11 | 45.33.32.156 | root | LOGIN_SUCCESS
21-01-2026 09:22:40 | 45.33.32.156 | root | UNAUTHORIZED_ACCESS

21-01-2026 09:25:05 | 185.220.101.4 | guest | LOGIN_FAIL
21-01-2026 09:25:20 | 185.220.101.4 | guest | LOGIN_FAIL
21-01-2026 09:25:35 | 185.220.101.4 | guest | LOGIN_FAIL

21-01-2026 09:27:10 | 10.0.0.30 | charlie | LOGIN_SUCCESS
21-01-2026 09:27:45 | 10.0.0.30 | charlie | FILE_ACCESS

21-01-2026 09:30:01 | 10.0.0.99 | dave | LOGIN_SUCCESS
21-01-2026 09:30:20 | 10.0.0.99 | dave | RM_RF
